causa_id;freq;params;ljung_box;kpss;adf;ocsb
2;12;ARIMA(1,0,0) with non-zero mean;0,517869463226287;0,1000000000000000;0,0100000000000000;0,000
3;12;ARIMA(0,1,1);0,807791814259301;0,0307254908047286;0,0417729552682565;0,000
4;12;ARIMA(0,0,0) with non-zero mean;0,452215790936492;0,1000000000000000;0,0100000000000000;0,000
5;12;ARIMA(0,0,0)(0,0,1)[12] with non-zero mean;0,219537625994542;0,1000000000000000;0,0100000000000000;0,000
6;12;ARIMA(0,0,0) with non-zero mean;0,883051623830780;0,1000000000000000;0,0100000000000000;0,000
7;12;ARIMA(0,0,1)(1,0,0)[12] with non-zero mean;0,832695131231919;0,1000000000000000;0,0100000000000000;0,000
8;12;ARIMA(0,0,0)(1,0,1)[12] with non-zero mean;0,144649499575226;0,1000000000000000;0,0151901862960342;0,000
9;12;ARIMA(0,1,1) with drift;0,716326098022109;0,0100000000000000;0,0603524256841196;0,000
10;12;ARIMA(1,0,0)(1,0,0)[12] with non-zero mean;0,987950476995380;0,1000000000000000;0,0100000000000000;0,000
11;12;ARIMA(0,0,0) with non-zero mean;0,659403391296980;0,1000000000000000;0,0100000000000000;0,000
12;12;ARIMA(2,0,2)(0,0,1)[12] with non-zero mean;0,556984182006887;0,1000000000000000;0,0100000000000000;0,000
2;6;ARIMA(0,0,1) with non-zero mean;0,822469102291705;0,1000000000000000;0,0100000000000000;0,000
3;6;ARIMA(0,1,1);0,740593137786114;0,0652312650578953;0,3843693843700909;0,000
4;6;ARIMA(0,0,0)(0,0,1)[6] with non-zero mean;0,409180564425570;0,1000000000000000;0,0754724078573079;0,005
5;6;ARIMA(0,0,0)(0,0,1)[6] with non-zero mean;0,285596542967022;0,1000000000000000;0,0999124287273575;0,000
6;6;ARIMA(0,0,0)(1,0,0)[6] with non-zero mean;0,541203101845827;0,1000000000000000;0,0100000000000000;0,000
7;6;ARIMA(0,0,0)(2,0,0)[6] with non-zero mean;0,170959079412258;0,1000000000000000;0,0233003305273109;0,000
8;6;ARIMA(0,0,0) with non-zero mean;0,383729469098964;0,1000000000000000;0,1216676084331797;0,000
9;6;ARIMA(0,1,2) with drift;0,908808476306270;0,0100000000000000;0,7473118742449082;0,000
10;6;ARIMA(0,0,0) with non-zero mean;0,316692441731968;0,1000000000000000;0,0100000000000000;0,000
11;6;ARIMA(0,0,0) with non-zero mean;0,673962989935778;0,1000000000000000;0,0231472208542060;0,000
12;6;ARIMA(0,0,0) with non-zero mean;0,196319064917836;0,1000000000000000;0,2797163093565688;0,000
2;4;ARIMA(0,0,0) with non-zero mean;0,249424532983763;0,1000000000000000;0,0737384959780434;0,041
3;4;ARIMA(0,1,1);0,572386346568116;0,0908980481969317;0,5380989778732344;0,002
4;4;ARIMA(0,0,0) with non-zero mean;0,498770260646408;0,1000000000000000;0,2226484613703885;0,008
5;4;ARIMA(0,0,0) with non-zero mean;0,374140112016229;0,1000000000000000;0,3811747641945257;0,056
6;4;ARIMA(0,0,0) with non-zero mean;0,538935474069620;0,1000000000000000;0,0398847650820844;0,012
7;4;ARIMA(0,0,0)(2,0,0)[4] with non-zero mean;0,616575679597893;0,1000000000000000;0,2163287132160479;0,039
8;4;ARIMA(0,0,1) with non-zero mean;0,912776248193308;0,1000000000000000;0,3776664915700835;0,021
9;4;ARIMA(0,1,3) with drift;0,979728797428039;0,0100000000000000;0,6125194977716942;0,000
10;4;ARIMA(0,0,0) with non-zero mean;0,494118466567129;0,1000000000000000;0,0939194220906022;0,008
11;4;ARIMA(0,0,0) with non-zero mean;0,941173017354085;0,1000000000000000;0,0593671321428796;0,005
12;4;ARIMA(1,0,0) with non-zero mean;0,996761422914786;0,1000000000000000;0,3545124862214019;0,011
2;2;ARIMA(0,0,0) with non-zero mean;0,445566478979836;0,1000000000000000;0,0100000000000000;0,820
3;2;ARIMA(0,0,1) with non-zero mean;0,601368273185838;0,1000000000000000;0,9291810833151413;0,005
4;2;ARIMA(0,0,0) with non-zero mean;0,126372824744488;0,1000000000000000;0,1545069170036069;0,483
5;2;ARIMA(0,0,0) with non-zero mean;0,764438369008891;0,1000000000000000;0,7163042293025537;0,050
6;2;ARIMA(0,0,0) with non-zero mean;0,137372280393344;0,1000000000000000;0,0809367275493058;0,252
7;2;ARIMA(0,0,0) with non-zero mean;0,966931917443333;0,1000000000000000;0,0553861819254877;0,073
8;2;ARIMA(0,0,0) with non-zero mean;0,817166493172389;0,1000000000000000;0,2732076158291787;0,420
9;2;ARIMA(0,1,1)(0,0,1)[2];0,507441794678775;0,0119799266055701;0,8782203554404807;0,070
10;2;ARIMA(0,0,0) with non-zero mean;0,994704250175798;0,1000000000000000;0,0961284234409079;0,078
11;2;ARIMA(0,0,0)(1,0,0)[2] with non-zero mean;0,458726483311777;0,1000000000000000;0,5564974302121954;NA
12;2;ARIMA(0,0,0) with non-zero mean;0,705691906030325;0,1000000000000000;0,4688427389791744;0,207
